DIRECTORIO,SECUENCIA_P,ORDEN,es_desplazado,es_victima,fex_c_victi
8371261,1,3,1,1,240.24044077
8371263,1,1,0,1,139.03799814
8371265,1,1,1,1,314.96952729
8371265,1,2,1,1,314.96952729
8371265,1,3,1,1,314.96952729
8371265,1,4,1,1,314.96952729
8371265,1,5,1,1,314.96952729
8371272,1,1,1,1,1073.8804296
8371272,1,2,1,1,1073.8804296
8371273,1,1,1,1,716.24461151
8371274,1,1,1,1,739.84366994
8371274,1,2,1,1,739.84366994
8371275,1,1,1,1,870.3550574
8371275,1,2,1,1,870.3550574
8371277,1,2,1,1,268.47010739
8371278,1,1,1,1,280.6497074
8371278,1,2,1,1,280.6497074
8371283,1,4,1,1,268.47010739
8371291,1,1,1,1,1032.0314902
8371291,1,2,1,1,1032.0314902
8371295,1,2,1,1,460.14095839
8371298,1,1,1,1,243.46343108
8371298,1,2,1,1,243.46343108
8371299,1,1,1,1,238.04724012
8371299,1,2,1,1,238.04724012
8371301,1,1,1,1,759.82835963
8371304,1,1,1,1,626.71414769
8371311,1,2,0,1,200.8123353
8371311,1,3,0,1,200.8123353
8371316,1,3,1,1,176.61701553
8371317,1,1,1,1,187.51100621
8371322,1,1,1,1,285.53851458
8371322,1,3,1,1,285.53851458
8371325,1,1,1,1,261.82429401
8371341,1,2,1,1,187.77720322
8371357,1,1,1,1,240.39936576
8371367,1,5,1,1,125.65826659
8371368,1,3,1,1,81.87582475
8371372,1,2,1,1,50.739344767
8371372,1,3,1,1,50.739344767
8371373,1,1,0,1,48.815433965
8371377,1,1,1,1,63.305979349
8371381,1,1,0,1,43.246448567
8371381,1,2,0,1,43.246448567
8371397,1,1,0,1,156.56268247
8371399,1,2,1,1,163.58989914
8371400,1,2,1,1,204.07419799
8371400,1,3,1,1,204.07419799
8371402,1,1,1,1,230.84959756
8371407,1,1,1,1,93.2466517
8371423,1,1,1,1,157.48688022
8371423,1,2,1,1,157.48688022
8371446,1,1,1,1,57.738912514
8371446,1,2,1,1,57.738912514
8371452,1,1,1,1,108.34044269
8371461,1,1,1,1,204.40640273
8371464,1,2,1,1,98.502152984
8371468,1,2,1,1,195.67066012
8371470,1,3,1,1,122.41771162
8371470,1,4,1,1,122.41771162
8371470,1,5,1,1,122.41771162
8371497,1,1,1,1,161.7896199
8371541,1,1,1,1,39.657526241
8371542,1,1,1,1,122.96679921
8371542,1,2,1,1,122.96679921
8371542,1,3,1,1,122.96679921
8371542,1,4,1,1,122.96679921
8371546,1,1,0,1,39.133513208
8371550,1,1,1,1,33.270870001
8371550,1,2,1,1,33.270870001
8371561,1,2,1,1,39.657526241
8371598,1,1,1,1,118.75919205
8371611,1,2,0,1,489.78866857
8371619,1,1,1,1,247.62777994
8371631,1,1,1,1,302.13901393
