DIRECTORIO,SECUENCIA_P,ORDEN,es_desplazado,es_victima,fex_c_victi
8370748,1,1,0,1,8.9834966243
8370749,1,1,1,1,9.1037891542
8370751,1,1,1,1,6.92562419
8370753,1,1,1,1,6.92562419
8370753,1,2,1,1,6.92562419
8370756,1,1,1,1,9.1037891542
8370756,1,2,1,1,9.1037891542
8370756,1,5,1,1,9.1037891542
8370756,1,6,1,1,9.1037891542
8370757,1,1,1,1,6.92562419
8370758,1,1,1,1,6.92562419
8370758,1,3,1,1,6.92562419
8370759,1,1,1,1,6.2960219909
8370759,1,2,1,1,6.2960219909
8370759,1,3,1,1,6.2960219909
8370761,1,2,1,1,6.92562419
8370763,1,1,1,1,6.2960219909
8370763,1,2,1,1,6.2960219909
8370764,1,1,1,1,6.92562419
8370766,1,2,1,1,27.432619181
8370766,1,3,1,1,27.432619181
8370766,1,4,1,1,27.432619181
8370768,1,1,1,1,6.92562419
8370768,1,2,1,1,6.92562419
8370768,1,3,1,1,6.92562419
8370769,1,1,1,1,6.92562419
8370769,1,2,1,1,6.92562419
8370769,1,3,1,1,6.92562419
8370770,1,1,1,1,6.92562419
8370770,1,2,1,1,6.92562419
8370771,1,1,1,1,6.92562419
8370774,1,1,1,1,6.92562419
8370785,1,1,1,1,12.243514193
8370787,1,1,1,1,6.92562419
8370788,1,1,1,1,6.92562419
8370788,1,2,1,1,6.92562419
8370788,1,3,1,1,6.92562419
8370791,1,1,1,1,57.482680777
8370791,1,2,1,1,57.482680777
8370791,1,3,1,1,57.482680777
8370791,1,5,1,1,57.482680777
8370791,1,6,1,1,57.482680777
8370792,1,1,1,1,6.92562419
8370793,1,2,1,1,6.92562419
8370794,1,1,1,1,7.8623633605
8370814,1,1,1,1,82.218472805
8370816,1,2,1,1,132.14186503
8370819,1,2,0,1,233.5832512
8370824,1,2,1,1,209.1231056
8370832,1,1,0,1,289.24787751
8370832,1,2,1,1,293.12101961
8370833,1,1,1,1,294.06164832
8370833,1,2,1,1,294.06164832
8370834,1,2,1,1,378.46942669
8370835,1,1,1,1,307.72435107
8370841,1,1,1,1,28.414069341
8370841,1,2,1,1,28.414069341
8370842,1,3,1,1,87.868112658
8370842,1,4,1,1,87.868112658
8370842,1,5,1,1,87.868112658
8370843,1,1,1,1,28.414069341
8370843,1,4,1,1,28.414069341
8370844,1,1,1,1,50.355345394
8370845,1,2,0,1,28.038621247
8370848,1,2,1,1,49.143122773
8370860,1,1,1,1,193.34354097
8370867,1,2,1,1,158.25101987
8370872,1,1,1,1,126.33217929
8370872,1,2,1,1,126.33217929
8370872,1,3,1,1,126.33217929
8370872,1,5,1,1,126.33217929
8370873,1,1,1,1,98.053757245
8370873,1,2,1,1,98.053757245
8370883,1,1,1,1,98.191206749
8370887,1,1,0,1,101.51363946
8370887,1,4,1,1,102.87294675
8370888,1,1,1,1,45.853670069
8370888,1,2,1,1,45.853670069
8370888,1,3,1,1,45.853670069
8370891,1,1,0,1,59.539844029
8370891,1,3,0,1,59.539844029
8370894,1,1,0,1,40.123707461
8370894,1,7,1,1,40.660979582
8370896,1,1,0,1,44.872975634
8370909,1,2,1,1,1021.0127342
8370909,1,3,1,1,1021.0127342
8370918,1,1,1,1,972.23430099
8370937,1,1,1,1,572.17224206
8370937,1,2,1,1,572.17224206
8370937,1,3,1,1,572.17224206
8370937,1,4,1,1,572.17224206
8370940,1,2,1,1,340.38169899
8370941,1,1,1,1,525.55855932
8370947,1,2,1,1,1046.3140889
8370951,1,1,1,1,891.0944975
8370951,1,2,1,1,891.0944975
8370971,1,1,0,1,1206.9650556
8370982,1,1,1,1,1127.7297491
8370982,1,2,1,1,1127.7297491
8370982,1,4,1,1,1127.7297491
8370986,1,1,1,1,14.3326182
8370986,1,2,1,1,14.3326182
8370987,1,1,1,1,5.895944493
8370988,1,1,1,1,5.895944493
8370989,1,1,1,1,10.699676824
8370989,1,2,1,1,10.699676824
8370989,1,3,1,1,10.699676824
8370989,1,4,1,1,10.699676824
8370989,1,5,1,1,10.699676824
8370990,1,2,1,1,9.4251181824
8370991,1,1,1,1,8.9259280373
8370991,1,2,1,1,8.9259280373
8370991,1,3,1,1,8.9259280373
8371005,1,1,1,1,221.95034922
8371028,1,1,1,1,1376.330134
8371028,1,3,1,1,1376.330134
8371030,1,1,1,1,2141.8850565
8371030,1,3,1,1,2141.8850565
8371030,1,4,1,1,2141.8850565
8371035,1,1,1,1,1426.1254086
8371035,1,2,1,1,1426.1254086
8371035,1,3,1,1,1426.1254086
8371035,1,4,1,1,1426.1254086
8371057,1,1,0,1,1574.1833805
8371074,1,2,1,1,277.47646735
8371076,1,1,0,1,449.72144954
8371099,1,1,0,1,96.10640816
8371099,1,3,1,1,97.393310518
8371110,1,1,1,1,984.29613168
8371110,1,3,1,1,984.29613168
8371111,1,1,1,1,1414.5194197
8371111,1,2,1,1,1414.5194197
8371111,1,3,1,1,1414.5194197
8371111,1,4,1,1,1414.5194197
8371111,1,5,1,1,1414.5194197
8371111,1,6,1,1,1414.5194197
8371112,1,2,1,1,1179.4620296
8371113,1,2,1,1,2066.0404099
8371115,1,1,0,1,570.87617503
8371129,1,1,1,1,1046.9541581
8371129,1,2,1,1,1046.9541581
8371129,1,3,1,1,1046.9541581
8371132,1,1,1,1,1095.5978271
8371135,1,1,1,1,725.86115464
8371135,1,3,1,1,725.86115464
8371136,1,1,1,1,1951.4515938
8371148,1,2,1,1,956.51276855
8371167,1,1,1,1,374.19648569
8371168,1,1,1,1,415.63727886
8371171,1,2,1,1,37.946472389
8371171,1,4,1,1,37.946472389
8371174,1,1,1,1,26.334145104
8371175,1,1,0,1,25.986180001
8371175,1,2,1,1,26.334145104
8371179,1,1,1,1,42.177051006
8371179,1,2,1,1,42.177051006
8371179,1,3,1,1,42.177051006
8371180,1,1,1,1,27.000905252
8371180,1,2,1,1,27.000905252
8371181,1,2,1,1,56.046994953
8371183,1,1,1,1,64.180633046
8371183,1,2,1,1,64.180633046
8371184,1,1,1,1,51.960842592
8371185,1,2,1,1,47.892401363
8371185,1,4,1,1,47.892401363
8371187,1,1,1,1,51.960842592
8371187,1,2,1,1,51.960842592
8371188,1,2,1,1,67.331621006
8371192,1,1,1,1,361.95228131
8371201,1,1,1,1,144.80651026
8371201,1,2,1,1,144.80651026
8371202,1,1,0,1,233.92623242
8371202,1,2,0,1,233.92623242
8371204,1,1,1,1,326.46587573
8371204,1,2,1,1,326.46587573
8371204,1,3,1,1,326.46587573
8371205,1,1,1,1,197.04285844
8371205,1,2,1,1,197.04285844
8371205,1,3,1,1,197.04285844
8371208,1,1,1,1,223.099119
8371210,1,1,1,1,140.23167379
8371220,1,1,1,1,228.3232836
8371225,1,1,1,1,263.75396108
8371228,1,2,0,1,113.91946687
8371232,1,1,1,1,156.98284647
8371232,1,2,1,1,156.98284647
8371233,1,1,1,1,230.38845674
8371234,1,2,1,1,355.39132459
8371241,1,1,1,1,238.12753689
8371249,1,1,1,1,355.39132459
8371249,1,2,0,1,350.69537647
8371261,1,1,1,1,240.24044077
8371261,1,2,1,1,240.24044077
