"DIRECTORIO","SECUENCIA_P","SECUENCIA_ENCUESTA","P5010","P8526","P8530","REGION","DEPARTAMENTO","PERSONAS","FEX_C","logro_educativo","analfabetismo","inasistencia_escolar","rezago_escolar","atencion_integral","trabajo_infantil","aseguramiento_salud","barreras_acceso_salud","desempleo_larga_duracion","empleo_formal","acueducto","alcantarillado","pisos","paredes","hacinamiento","IPM","POBRE","FEXP","PERIODO","P1075","P1077S21","P1077S22","P1077S23"
8410015,1,1,1,5,6,3,5,1,105.222148186384,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.28,0,105.222148186384,20250731,1,2,2,2
8410016,1,2,1,2,2,3,5,2,84.281554705914,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.2,0,168.563109411828,NA,NA,NA,NA,NA
8410017,1,2,2,2,1,3,5,2,159.417490708086,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,318.834981416172,NA,NA,NA,NA,NA
8410019,1,1,1,3,6,3,5,1,105.222148186384,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0.38,1,105.222148186384,20250731,1,2,2,2
8410020,1,3,1,5,6,3,5,3,198.963271210517,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0.23,0,596.889813631551,NA,NA,NA,NA,NA
8410021,1,4,4,2,2,3,5,4,227.072818875654,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.3,0,908.291275502616,NA,NA,NA,NA,NA
8410022,1,3,2,2,2,3,5,3,162.129938477815,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,486.389815433445,NA,NA,NA,NA,NA
8410023,1,1,1,2,6,3,5,1,84.281554705914,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.34,1,84.281554705914,20250731,2,2,2,2
8410024,1,1,1,3,6,3,5,1,105.222148186384,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.28,0,105.222148186384,20250731,2,2,2,2
8410025,1,2,1,2,2,3,5,2,84.281554705914,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,168.563109411828,NA,NA,NA,NA,NA
8410026,1,2,1,2,6,3,5,2,93.352708706168,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.24,0,186.705417412336,NA,NA,NA,NA,NA
8410027,1,4,3,2,2,3,5,4,84.281554705914,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.3,0,337.126218823656,NA,NA,NA,NA,NA
8410028,1,4,3,1,1,1,23,4,180.19079445803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720.76317783212,NA,NA,NA,NA,NA
8410029,1,2,1,1,1,1,23,2,274.455562023995,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0,548.91112404799,NA,NA,NA,NA,NA
8410030,1,2,2,1,1,1,23,2,289.747807415361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579.495614830722,NA,NA,NA,NA,NA
8410031,1,4,3,1,1,1,23,4,124.841123759548,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,499.364495038192,NA,NA,NA,NA,NA
8410032,1,2,2,1,1,1,23,2,377.141760347158,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,754.283520694316,NA,NA,NA,NA,NA
8410033,1,1,1,1,1,1,23,1,417.029719443988,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0,417.029719443988,20250731,1,2,1,2
8410034,1,2,2,1,1,1,23,2,377.141760347158,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,754.283520694316,NA,NA,NA,NA,NA
8410035,1,2,1,1,1,1,23,2,272.845851982798,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,545.691703965596,NA,NA,NA,NA,NA
8410036,1,2,2,1,1,1,23,2,175.395730719395,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,350.79146143879,NA,NA,NA,NA,NA
8410037,1,2,2,1,1,1,23,2,272.845851982798,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.2,0,545.691703965596,NA,NA,NA,NA,NA
8410038,1,4,3,1,1,1,23,4,225.046168726299,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,900.184674905196,NA,NA,NA,NA,NA
8410039,1,2,1,1,1,1,23,2,164.117299672179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328.234599344358,NA,NA,NA,NA,NA
8410040,1,6,3,1,1,1,23,6,90.7935445523988,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.15,0,544.761267314393,NA,NA,NA,NA,NA
8410041,1,5,2,1,1,1,23,5,90.7935445523988,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,453.967722761994,NA,NA,NA,NA,NA
8410042,1,4,2,1,1,1,23,4,90.7935445523988,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.3,0,363.174178209595,NA,NA,NA,NA,NA
8410043,1,4,2,1,1,1,23,4,194.955171022287,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.05,0,779.820684089148,NA,NA,NA,NA,NA
8410044,1,1,1,1,1,1,23,1,363.174178209595,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,363.174178209595,20250731,1,2,2,2
8410045,1,5,4,1,1,1,23,5,214.404294426132,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,1072.02147213066,NA,NA,NA,NA,NA
8410046,1,2,2,1,1,1,23,2,95.1260633795043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.252126759009,NA,NA,NA,NA,NA
8410047,1,3,3,1,1,1,23,3,270.882820580935,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0,812.648461742805,NA,NA,NA,NA,NA
8410048,1,3,2,1,1,1,23,3,162.733398417881,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,488.200195253643,NA,NA,NA,NA,NA
8410049,1,3,3,1,1,1,23,3,463.804833750343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1391.41450125103,NA,NA,NA,NA,NA
8410050,1,3,2,1,1,1,23,3,329.99874510403,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,989.99623531209,NA,NA,NA,NA,NA
8410051,1,5,2,1,1,1,23,5,315.40162845214,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,1577.0081422607,NA,NA,NA,NA,NA
8410052,1,2,1,1,1,1,23,2,490.782416238643,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,981.564832477286,NA,NA,NA,NA,NA
8410053,1,1,1,1,1,1,23,1,749.04674255729,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,749.04674255729,20250731,1,2,2,2
8410054,1,2,2,1,1,1,23,2,210.680076643155,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.2,0,421.36015328631,NA,NA,NA,NA,NA
