DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	P3	P4005	P4015	P8520S3	P8520S5
2983217	1	1	1	1	4	1	1
2983218	1	1	1	1	6	1	1
2983219	1	1	1	1	4	1	1
2983221	1	1	1	1	4	1	1
2983222	1	1	1	1	4	1	1
2983223	1	1	1	1	4	1	1
2983224	1	1	1	1	4	1	1
2983225	1	1	1	1	4	1	1
2983226	1	1	1	1	4	1	1
2983228	1	1	3	1	6	2	2
2983230	1	1	1	1	4	1	1
2983231	1	1	1	1	4	1	1
2983232	1	1	1	2	6	1	1
2983234	1	1	1	1	4	1	1
2983235	1	1	1	1	6	1	1
2983236	1	1	1	1	4	1	1
2983237	1	1	1	1	4	1	1
2983239	1	1	3	5	5	2	2
2983240	1	1	3	5	5	2	2
2983241	1	1	2	1	6	2	1
2983243	1	1	1	1	4	1	1
2983244	1	1	1	1	4	1	1
2983245	1	1	1	1	4	1	1
2983246	1	1	1	1	4	1	1
2983247	1	1	3	5	5	2	2
2983248	1	1	2	1	6	2	1
2983249	1	1	2	1	6	2	1
2983250	1	1	2	7	7	2	1
2983251	1	1	1	1	4	1	1
2983253	1	1	2	3	6	2	1
2983254	1	1	1	1	4	1	1
2983255	1	1	2	1	6	2	1
2983256	1	1	1	1	4	1	1
2983258	1	1	1	1	2	1	1
2983260	1	1	1	1	4	1	1
2983261	1	1	1	1	4	1	1
2983262	1	1	1	1	4	1	1
2983263	1	1	1	1	4	1	1
2983264	1	1	1	1	4	1	1
2983265	1	1	1	1	4	1	1
2983266	1	1	1	1	4	1	1
2983267	1	1	1	1	4	1	1
2983268	1	1	1	1	4	1	1
2983269	1	1	1	1	4	1	1
2983270	1	1	1	1	4	1	1
2983272	1	1	2	1	6	2	1
2983273	1	1	1	1	4	1	1
2983274	1	1	2	1	4	2	1
2983275	1	1	2	3	6	2	1
2983276	1	1	2	1	6	2	1
2983277	1	1	1	1	4	1	1
2983278	1	1	2	1	6	2	1
2983279	1	1	1	1	4	1	1
2983280	1	1	1	1	6	1	1
2983281	1	1	1	1	6	1	1
2983282	1	1	1	1	4	1	1
2983283	1	1	1	1	4	1	1
2983284	1	1	1	1	4	1	1
2983285	1	1	1	2	7	1	1
2983286	1	1	1	1	1	1	1
2983287	1	1	1	1	4	1	1
2983288	1	1	1	1	4	1	1
2983289	1	1	1	1	4	1	1
2983290	1	1	2	1	6	2	1
2983292	1	1	2	1	6	2	1
