PERIODO	DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	ORDEN	P6040	FEX_C	P6090	P5665	P8563	P51	P55	P6160	P8586	P8587	P8587S1	P1088	P1088S1	P6180	P6240	P6250	P6260	P6270	P6351	P6390S1	P7250	P6920
20140939	2992368	1	1	1	43	680.860708241574	1	2				1	2	5	11				1					5233		2
20140939	2992368	2	1	2	41	680.860708241574	1	2				1	2	5	11				4	2	2	2				2
20140939	2992368	3	1	3	16	680.860708241574	1	2				1	1			4	10	2	3	2	2	2				2
20140939	2992368	4	1	4	5	680.860708241574	1	2				2	1			1	1	2								
20140939	2992369	1	1	1	29	443.927246266069	1	2				1	2	3	5				1					116		2
20140939	2992369	2	1	2	30	443.927246266069	1	2				1	2	3	5				4	1				116		2
20140939	2992369	3	1	3	10	443.927246266069	1	2				1	1			2	5	2								
20140939	2992369	4	1	4	8	443.927246266069	1	2				1	1			2	2	2								
20140939	2992370	1	1	1	47	804.243158491908	1	2				1	2	5	11				1					5020		2
20140939	2992370	2	1	2	44	804.243158491908	1	2				1	2	5	11				4	1				1810		2
20140939	2992370	3	1	3	15	804.243158491908	1	2				1	1			4	10	1	3	2	2	2				2
20140939	2992371	1	1	1	26	511.569559334618	1	2				1	2	7	2				1					5272		2
20140939	2992371	2	1	2	28	511.569559334618	1	2				1	2	7	2				4	2	2	2	1		48	2
20140939	2992371	3	1	3	2	511.569559334618	1	2		2	1															
20140939	2992372	1	1	1	29	613.255404821558	1	2				1	2	3	3				1					116		2
20140939	2992372	2	1	2	19	613.255404821558	1	2				1	2	5	11				4	2	2	2				2
20140939	2992372	3	1	3	2	613.255404821558	1	2		2	1															
20140939	2992373	1	1	1	32	322.923027705877	1	2				1	2	3	5				1					116		2
20140939	2992373	2	1	2	29	322.923027705877	1	2				1	2	3	5				1					116		2
20140939	2992373	3	1	3	10	322.923027705877	1	2				1	1			2	4	2								
20140939	2992373	4	1	4	4	322.923027705877	1	2		5	1															
20140939	2992373	5	1	5	63	322.923027705877	1	2				1	2	3	1				1					116		2
20140939	2992373	6	1	6	51	322.923027705877	1	2				1	2	3	1				4	2	2	2				2
20140939	2992373	7	1	7	24	322.923027705877	1	2				1	2	4	9				1					116		2
20140939	2992373	8	1	8	20	322.923027705877	1	2				1	2	4	9				1					116		2
20140939	2992374	1	1	1	47	198.444055514507	1	2				1	2	3	5				1					116		2
20140939	2992374	2	1	2	43	198.444055514507	1	2				2	2	1	0				4	2	2	2				2
20140939	2992374	3	1	3	21	198.444055514507	1	2				1	2	4	6				1					4542		2
20140939	2992374	4	1	4	23	198.444055514507	1	2				1	2	3	3				1					7493		2
20140939	2992374	5	1	5	3	198.444055514507	1	2		2	2															
20140939	2992374	6	1	6	27	198.444055514507	1	2				1	2	3	5				1					116		2
20140939	2992375	1	1	1	93	165.142412827701	1	2				1	2	3	4				5							2
20140939	2992375	2	1	2	84	165.142412827701	1	2				1	2	3	5				5							2
20140939	2992375	3	1	3	58	165.142412827701	1	2				1	2	5	11				1					7512		1
20140939	2992375	4	1	4	21	165.142412827701	1	2				1	2	5	11				4	2	2	2				2
20140939	2992375	5	1	5	2	165.142412827701	1	1	1	2	1															
20140939	2992376	1	1	1	36	161.077917923567	1	2				1	2	3	5				6	2	2	2	2			2
20140939	2992376	2	1	2	32	161.077917923567	1	2				1	2	3	3				4	2	2	2	1		32	2
20140939	2992376	3	1	3	14	161.077917923567	1	2				1	1			3	7	1	3	2	2	2				2
20140939	2992376	4	1	4	9	161.077917923567	1	2				1	1			2	2	1								
20140939	2992377	1	1	1	33	271.972761909255	1	1	1			1	2	5	11				1					116		2
20140939	2992377	2	1	2	26	271.972761909255	1	2				1	1			5	1	2	4	2	2	2				2
20140939	2992377	3	1	3	8	271.972761909255	1	2				1	1			2	3	1								
20140939	2992378	1	1	1	30	624.462326340386	1	2				1	2	3	5				1					121		2
20140939	2992378	2	1	2	28	624.462326340386	1	2				1	2	3	5				4	2	2	1		121		2
20140939	2992378	3	1	3	11	624.462326340386	1	2				1	1			2	3	1								
20140939	2992378	4	1	4	9	624.462326340386	1	2				1	1			2	2	1								
20140939	2992378	5	1	5	5	624.462326340386	1	2				1	1			1	3	1								
20140939	2992378	6	1	6	3	624.462326340386	1	2		2	1															
20140939	2992378	7	1	7	0	624.462326340386	1	2		2	1															
20140939	2992379	1	1	1	34	536.504931882755	1	2				1	2	3	5				1					6021		2
20140939	2992379	2	1	2	38	536.504931882755	1	2				1	2	5	11				4	2	1			6421		2
20140939	2992379	3	1	3	16	536.504931882755	1	2				1	1			4	11	2	3	2	2	2				2
20140939	2992379	4	1	4	10	536.504931882755	1	2				1	1			2	5	2								
20140939	2992380	1	1	1	48	194.530441967488	1	2				2	2	1	0				1					111		2
20140939	2992380	2	1	2	16	194.530441967488	1	2				1	1			3	7	2	3	1				5221		2
20140939	2992381	1	1	1	66	446.627298266142	1	2				1	2	11	6				6	2	2	2				3
20140939	2992381	2	1	2	17	446.627298266142	1	2				1	1			4	11	2	3	2	2	2				2
20140939	2992382	1	1	1	29	239.13157144727	1	2				1	2	3	5				4	1				123		2
20140939	2992382	2	1	2	40	239.13157144727	1	2				1	2	3	1				1					116		2
20140939	2992382	3	1	3	10	239.13157144727	1	2				1	1			2	4	2								
20140939	2992382	4	1	4	7	239.13157144727	1	2				1	1			2	1	2								
20140939	2992382	5	1	5	73	239.13157144727	1	2				1	2	3	2				5							2
20140939	2992382	6	1	6	60	239.13157144727	1	2				1	2	3	2				1					116		2
20140939	2992383	1	1	1	30	385.864035534255	1	2				1	2	11	5				1					7412		2
